Component,MW,RD (m),hh (m),mass (kg),cost ($),model,source,note,OEM,outlier?,US market model?
blade,1,56,60,4000,,Acowind A-63,https://en.wind-turbine-models.com/turbines/2423-acowind-a-63,,Acowind,No,No
blade,0.1,20,24,400,,ACSA A20/100,https://en.wind-turbine-models.com/turbines/2374-acsa-a20-100,,ACSA,No,No
blade,0.275,26.2,24.4,500,,AWT Inc. AWT-26 / WC-86,https://en.wind-turbine-models.com/turbines/1319-awt-inc-awt-26-wc-86,,AWT Inc.,No,No
blade,0.09,18.6,22.5,500,,AWP A/S AWP 90/18,https://en.wind-turbine-models.com/turbines/1870-awp-a-s-awp-90-18,,AWP A/S,No,No
blade,0.2,23,30,700,,AWP A/S AWP 200/23,https://en.wind-turbine-models.com/turbines/1872-awp-a-s-awp-200-23,,AWP A/S,No,No
blade,1.5,77.1,70,6000,,aerodyn aM 1.5/77,https://en.wind-turbine-models.com/turbines/1112-aerodyn-am-1-5-77,,aerodyn,No,No
blade,1.5,82.6,70,6100,,aerodyn aM 1.5/83,https://en.wind-turbine-models.com/turbines/1113-aerodyn-am-1-5-83,,aerodyn,No,No
blade,1.5,86.6,70,6400,,aerodyn aM 1.5/87,https://en.wind-turbine-models.com/turbines/1114-aerodyn-am-1-5-87,,aerodyn,No,No
blade,1.5,92,70,7300,,aerodyn aM 1.5/92,https://en.wind-turbine-models.com/turbines/1115-aerodyn-am-1-5-92,,aerodyn,No,No
blade,2.5,96.1,70,11800,,aerodyn aM 2.5/96,https://en.wind-turbine-models.com/turbines/1111-aerodyn-am-2-5-96,,aerodyn,No,Yes
blade,2.5,102.9,70,12000,,aerodyn aM 2.5/103,https://en.wind-turbine-models.com/turbines/1110-aerodyn-am-2-5-103,,aerodyn,No,No
blade,2.5,110,70,12000,,aerodyn aM 2.5/110,https://en.wind-turbine-models.com/turbines/1109-aerodyn-am-2-5-110,,aerodyn,No,No
